petType,breedName,breedDescription
DOG,골든 리트리버,대형견. 온순하고 활발하며 털 빠짐이 많음
DOG,말티즈,소형견. 순하고 애교가 많으며 털 관리 필요
DOG,포메라니안,소형견. 활발하고 영리하며 이중모
DOG,비글,중형견. 호기심이 많고 냄새를 잘 맡음
DOG,푸들,소형~대형. 지능이 높고 털 빠짐이 적음
DOG,진도개,중형견. 충성심이 강하고 독립적
DOG,시바이누,소형~중형견. 독립적이고 청결함
DOG,불독,중형견. 온순하나 호흡기 질환 주의
DOG,허스키,대형견. 활동량이 많고 추위에 강함
DOG,라브라도 리트리버,대형견. 온순하고 훈련성이 뛰어남
CAT,페르시안,장모종. 온순하고 조용하며 털 관리 필요
CAT,러시안 블루,단모종. 조용하고 독립적이며 예민함
CAT,영국 단모종,단모종. 둥근 외모에 온순한 성격
CAT,스코티시 폴드,접힌 귀가 특징. 온순하고 사람을 좋아함
CAT,메인쿤,대형 장모종. 개냥이라 불릴 만큼 친화적
CAT,벵갈,단모종. 활동적이고 호기심이 많음
CAT,샴,단모종. 수다스럽고 애교가 많음
CAT,아비시니안,단모종. 활동적이고 지능이 높음
